datetime,temp,wind,sun,rain
2007-04-01,11.16737213403881,7.389500000000002,7.270185290533762,45.06245142489539
2007-05-01,11.873684210526305,8.964900000000002,5.449344479752644,102.22239132905072
2007-06-01,14.936684303350948,7.377399999999999,4.830176215486552,100.64523188415656
2007-07-01,15.249076923076904,8.2924,5.964100480957305,92.42466245268535
2007-08-01,15.544753086419725,8.1546,6.512341446182614,117.6316455245457
2007-09-01,13.85039292730846,8.4823,4.999976836629995,86.5037964305296
2007-10-01,10.99700460829495,7.095100000000001,3.5918788672248705,110.61474280587484
2007-11-01,7.538136942675166,9.0314,2.399287122742497,130.3972300282454
2007-12-01,4.9970046082949375,10.31,1.617199820065251,146.72249002799114
2008-01-01,6.373271889400908,12.059900000000004,1.573816467416538,254.90591438225823
2008-02-01,5.364121510555785,10.830699999999997,4.215328050170959,124.91407114650455
